label,meanSVMAcc,meanXAcc,meanYAcc,meanZAcc,maxSVMAcc,maxXAcc,maxYAcc,maxZAcc,minSVMAcc,minXAcc,minYAcc,minZAcc,stdSVMAcc,stdXAcc,stdYAcc,stdZAcc,meanPeak
0,22.486,338.91,-37.473,-29.52,30.888,559.53,36.691,64.053,6.7743,72.735,-134.91,-273.04,6.2123,105.79,45.161,101.92,30.025
0,23.406,302.24,29.446,-40.835,36.251,563.01,132.03,35.031,10.571,72.907,-72.087,-261.74,5.8481,133.06,60.509,86.977,34.39
0,24.768,357.84,1.4744,-25.423,37.749,567.62,133.17,99.557,3.6757,54.149,-116.9,-279.84,7.4098,149.09,65.639,107.85,32.12
0,22.894,336.87,-1.1719,-65.519,32.419,573.77,123.76,85.484,16.64,81.817,-103.03,-290.78,4.0462,128.69,61.381,108.28,30.319
0,22.569,285.78,29.009,-34.209,36.981,589.2,138.47,45.237,8.3956,74.825,-83.794,-236.06,7.2323,156.81,62.465,84.641,34.294
0,24.076,326.72,-11.85,-13.558,32.068,550.2,71.029,110.39,11.655,111.32,-103.91,-281.25,4.8181,121.7,56.5,102.3,29.111
0,25.63,323.14,30.143,-17.804,33.895,538.21,105.74,73.98,19.917,138.35,-45.47,-204.86,3.7674,108.21,43.73,89.184,28.289
0,24.138,345.13,3.1161,-47.118,33.867,564.03,129.06,104.43,16.364,130.12,-69.421,-245.28,4.4516,116.27,49.566,103.23,31.486
0,25.363,344.69,3.0286,-2.2622,38.433,559.8,90.141,98.282,10.447,107.01,-102.02,-241.45,6.936,123.89,53.99,94.7,35.881
0,23.908,316.13,16.874,-30.363,36.419,557.59,107.85,74.777,13.209,77,-105.32,-200.91,5.8358,120.8,59.716,79.758,33.852
0,23.45,307.13,-13.637,-7.2229,33.156,526.97,71.425,95.625,13.928,73.432,-107.2,-240.91,4.7833,120.17,47.28,89.953,31.443
0,25.92,334.75,9.1257,-0.21328,36.07,535.94,106.47,100.9,19.907,157.84,-64.702,-185.54,3.9573,102.93,47.323,83.081,33.87
0,23.791,345.58,10.783,-55.685,36.958,550.47,101.37,64.882,12.151,107.09,-90.551,-259.61,5.9733,116.88,47.775,97.04,34.385
0,24.319,340.94,1.3611,-31.009,36.442,574.11,82.561,80.202,13.467,150.48,-100.14,-193.85,5.6095,112.37,52.109,79.22,34.109
0,23.504,313.39,-7.9797,-13.729,35.003,544.03,118.57,106.73,7.4433,71.729,-111.59,-227.73,5.587,115.31,60.612,89.49,32.435
0,23.823,331.91,5.9321,-37.076,36.163,552.29,132.6,58.829,12.479,149.07,-78.755,-193.94,5.8596,111.1,51.05,83.917,34.407
0,23.149,297.27,-8.6977,-10.56,32.638,539,120.26,106.65,13.968,90.748,-90.204,-221.96,4.5098,128.22,57.902,81.663,30.712
0,25.395,320.85,23.618,-13.425,35.313,527.83,99.229,52.643,18.269,115.83,-60.143,-193.43,4.1662,117.45,43.082,75.272,33.393
0,25.439,358.22,4.6184,-22.833,35.234,555.46,82.809,78.369,12.596,146,-96.662,-236.22,5.7623,118.81,51.186,89.292,31.841
0,23.877,332.12,1.2417,-38.889,33.223,530.25,147.07,71.747,15.519,149.29,-95.728,-232.32,4.3592,108.77,59.405,94.625,28.892
0,24.257,306.48,24.844,-19.809,36.094,559.6,116.73,73.764,11.358,70.418,-95.323,-220.4,5.9123,126.81,51.505,83.462,33.844
0,24.284,319.75,-7.6409,-6.8829,33.124,535.37,81.981,93.385,15.739,134.17,-108.33,-252.79,4.5751,106.89,49.354,95.842,29.345
