label,meanSVMAcc,meanXAcc,meanYAcc,meanZAcc,maxSVMAcc,maxXAcc,maxYAcc,maxZAcc,minSVMAcc,minXAcc,minYAcc,minZAcc,stdSVMAcc,stdXAcc,stdYAcc,stdZAcc,meanPeak
0,351.11,-11.947,343.67,-42.188,468.32,130.84,447.53,30.897,132.8,-134.12,135.61,-154.96,70.833,69.578,67.269,57.974,433.09
0,351.39,-38.422,341.85,-56.299,496.67,86.534,488.2,65.328,121.71,-171.48,151.87,-190.65,98.273,67.335,93.166,62.972,477.19
0,326.34,-48.206,321.48,-11.672,463.68,36.359,445.04,68.476,105.67,-176.05,137.98,-96.767,92.407,54.009,86.106,37.957,463.68
0,356.98,-33.037,354.15,-19.773,472.65,78.318,472.78,78.302,141.12,-111.63,178.97,-169.61,67.107,48.653,62.906,61.829,446.84
0,341.37,-32.192,332.33,-60.952,488.96,80.853,485.09,8.3379,100.3,-162.35,137.55,-187.88,95.268,65.799,91.247,56.193,473.54
0,333.81,-35.544,329.84,-24.635,464.51,64.297,449.72,69.136,144.58,-172.62,177.13,-123.48,86.142,57.317,82.268,48.735,464.51
0,359.07,-49.767,358.14,-15.425,502.81,52.729,531.16,72.269,174.95,-176.73,229.56,-166.65,63.222,48.407,66.067,51.718,468.54
0,325.1,-25.308,318.06,-61.488,500.98,65.467,506.51,-8.9385,103.05,-115.98,143.45,-210.02,96.253,54.547,90.736,57.708,500.98
0,342.4,-37.517,335.24,-35.469,473.33,47.517,455.24,59.292,152.11,-186.84,182.07,-148.53,87.977,63.791,84.387,57.406,473.33
0,365.19,-73.728,358.62,-13.725,495.5,51.509,524.87,73.647,129.29,-168.81,167.72,-189.77,59.714,50.626,59.328,57.197,469.57
0,335.3,-0.0079737,324.46,-71.162,419.75,112.72,429.08,-11.083,117.79,-135.51,167.79,-197.45,58.34,59.02,46.946,55.437,419.75
0,347.53,-22.916,342.31,-35.196,439.53,86.016,445.09,56.941,168.02,-150.43,191.02,-139.61,79.697,64.835,79.021,56.181,438.07
0,359.47,-64.587,357.73,-9.2376,458.64,51.46,460.11,67.421,161.25,-182.54,217.87,-77.312,58.118,51.526,57.892,31.506,442.56
0,317.49,-16.758,311.58,-52.131,488.95,82.238,495.67,12.325,117.19,-124.31,169.18,-158.17,95.206,55.866,87.213,50.109,488.95
0,364.7,-35.911,355.98,-46.191,502.29,73.039,517.91,69.07,123.92,-185.82,143.07,-174.49,100.7,67.683,98.612,64.699,492.14
0,339.08,-60.134,335.48,-8.3159,492.5,0.74439,478.22,61.493,68.009,-185.54,89.296,-72.279,90.982,47.693,84.444,30.536,492.5
0,340,-28.603,334.16,-43.127,509.19,70.821,522.48,24.477,101.02,-103.59,113.37,-171.35,86.813,46.409,82.119,58.232,509.19
0,355.96,-45.076,345.67,-49.527,482.02,76.396,485.01,77.363,131.98,-194.13,192.28,-184.45,90.985,74.765,83.416,62.192,474.35
0,336.65,-53.249,333.66,-7.3839,454.27,8.9278,446.04,64.42,74.694,-145.85,99.232,-59.542,85.553,45.067,76.74,32.957,454.27
0,344.92,-7.056,340.03,-48.479,504.11,78.096,512.33,15.956,108.87,-103.03,123.26,-175.34,80.266,48.039,75.781,56.686,504.11
0,347.27,-44.136,346.3,-13.228,443.57,49.309,474.83,43.796,122.74,-161.18,172.4,-51.194,58.642,53.518,54.685,24.73,434.74
0,342.22,-41.229,335.44,-30.021,410.79,57.715,391.07,74.652,131.23,-143.32,172.25,-126.18,57.557,53.425,48.995,61.715,410.79
0,358.79,-50.455,356.11,-19.755,464.38,52.977,502.5,71.934,172.76,-178.89,212.54,-159.1,58.306,51.658,59.681,48.32,445.8
0,323.17,-17.906,315.89,-60.199,476.09,99.778,468.2,11.109,110.95,-137.21,157.14,-156.96,85.054,60.899,77.147,49.5,476.09
0,356.7,-30.35,349.26,-41.807,482.85,106.46,468.33,68.619,161.57,-183.6,184.72,-164.72,89.12,69.701,86.588,64.451,472.58
0,351.39,-41.688,351.23,-8.1784,454.21,29.592,456.15,64.525,134.47,-142.92,167.67,-58.983,64.657,47.521,62.893,26.894,454.21
0,322.02,2.0591,314.49,-54.373,476.8,129.93,466.15,8.7876,119.89,-109.66,149.29,-162.18,88.877,57.603,78.568,56.159,476.8
0,362.01,-13.201,356.79,-46.554,496.6,88.898,503.52,66.315,119.35,-134.32,146.36,-159.81,94.229,58.212,92.965,58.903,481.44
