label,meanSVMAcc,meanXAcc,meanYAcc,meanZAcc,maxSVMAcc,maxXAcc,maxYAcc,maxZAcc,minSVMAcc,minXAcc,minYAcc,minZAcc,stdSVMAcc,stdXAcc,stdYAcc,stdZAcc,meanPeak
0,351.85,349.8,-22.854,60.559,446.88,454.86,8.7945,87.116,112.95,157.12,-76.835,-16.93,60.36,51.595,21.804,32.847,413.2
0,336.81,337.63,-34.103,31.852,458.66,462.65,11.774,96.645,109.23,152.8,-57.886,-63.466,67.838,60.192,17.986,35.404,458.66
0,348.7,349.5,-37.844,38.168,449.33,450.03,7.1754,89.532,160.47,196.55,-87.19,-43.062,58.282,55.172,22.175,30.411,429.63
0,348.15,351.01,-22.155,25.111,455.52,459.96,26.81,81.817,136.11,191.06,-68.4,-82.018,56.514,52.99,24.535,40.68,425.04
0,333.75,334.54,-20.737,35.152,457.44,455.17,13.923,101.19,119.12,164.18,-47.3,-83.399,70.823,63.971,17.697,38.564,457.44
0,357.06,358.52,-28.224,45.137,449.73,454.96,4.9988,94.07,169.2,199.76,-77.441,-47.052,60.363,59.11,18.929,31.857,448.24
0,340.55,342.93,-19.752,24.998,452.03,455.3,17.404,84.732,117.57,155.46,-75.621,-58.359,61.1,54.925,23.804,36.341,452.03
0,335.83,337.26,-16.716,34.994,442.2,448.9,21.803,86.093,116.82,160.74,-46.76,-50.266,65.638,58.352,18.153,30.637,442.2
0,353.88,356.8,-26.511,35.068,449.7,459.11,1.5469,92.456,155.9,214.42,-67.761,-41.645,53.046,47.765,16.366,30.779,424.89
0,337.26,341.18,-14.234,24.879,426.11,431.62,15.706,78.312,107.29,155.2,-39.307,-46.009,57.556,49.187,16.682,28.498,396.1
0,348.1,352.06,12.1,0.43718,389.28,394.67,58.937,44.182,127.22,175.33,-34.229,-59.308,45.057,35.139,24.319,36.486,375.85
0,344.15,347.66,-15.231,26.815,381.64,391.71,38.231,62.515,147.47,202.8,-51.047,-13.771,41.816,32.007,29.505,19.303,380.87
0,347.68,351.43,-5.3003,12.759,446.9,451.46,39.426,66.162,107.48,148.39,-59.554,-55.257,61.335,57.543,26,33.072,418.36
0,338.95,341.95,-19.831,23.429,461.87,469.92,25.319,85.7,110.15,155.86,-46.145,-67.975,66.766,60.068,19.43,32.502,461.87
0,340.85,341.46,-19.644,46.962,436.74,440.84,16.117,107.44,127.5,177.98,-64.513,-15.721,58.497,50.58,22.449,27.656,436.74
0,351.56,352.78,-9.2605,53.728,443.28,446.18,10.58,116.96,162.17,226.46,-40.866,-34.434,49.981,45.574,12.698,39.076,420.62
